yr,age_grp,gender,net_bal_amt
2014,Up to 20,Male,67871000
2014,Up to 20,Female,85612000
2014,Up to 20,Unspecified,0
2014,>20 - 25,Male,839583000
2014,>20 - 25,Female,1501948000
2014,>20 - 25,Unspecified,0
2014,>25 - 30,Male,4641796000
2014,>25 - 30,Female,6169479000
2014,>25 - 30,Unspecified,0
2014,>30 - 35,Male,10139506000
2014,>30 - 35,Female,10792830000
2014,>30 - 35,Unspecified,17000
2014,>35 - 40,Male,15237331000
2014,>35 - 40,Female,15377380000
2014,>35 - 40,Unspecified,129000
2014,>40 - 45,Male,21342369000
2014,>40 - 45,Female,19596358000
2014,>40 - 45,Unspecified,272000
2014,>45 - 50,Male,23969263000
2014,>45 - 50,Female,19568768000
2014,>45 - 50,Unspecified,421000
2014,>50 - 55,Male,26639002000
2014,>50 - 55,Female,20013912000
2014,>50 - 55,Unspecified,1196000
2014,>55 - 60,Male,20245427000
2014,>55 - 60,Female,15415604000
2014,>55 - 60,Unspecified,694000
2014,Above 60,Male,25445782000
2014,Above 60,Female,18048507000
2014,Above 60,Unspecified,561000
2014,Unspecified,Male,121856000
2014,Unspecified,Female,95950000
2014,Unspecified,Unspecified,4507000
2015,Up to 20,Male,78068000
2015,Up to 20,Female,93305000
2015,Up to 20,Unspecified,0
2015,>20 - 25,Male,915091000
2015,>20 - 25,Female,1526143000
2015,>20 - 25,Unspecified,0
2015,>25 - 30,Male,4967350000
2015,>25 - 30,Female,6586240000
2015,>25 - 30,Unspecified,0
2015,>30 - 35,Male,10652664000
2015,>30 - 35,Female,11419635000
2015,>30 - 35,Unspecified,0
2015,>35 - 40,Male,16147550000
2015,>35 - 40,Female,16367736000
2015,>35 - 40,Unspecified,145000
2015,>40 - 45,Male,22537201000
2015,>40 - 45,Female,20935424000
2015,>40 - 45,Unspecified,223000
2015,>45 - 50,Male,25397136000
2015,>45 - 50,Female,21154784000
2015,>45 - 50,Unspecified,418000
2015,>50 - 55,Male,28485030000
2015,>50 - 55,Female,21767741000
2015,>50 - 55,Unspecified,901000
2015,>55 - 60,Male,21389489000
2015,>55 - 60,Female,16558033000
2015,>55 - 60,Unspecified,673000
2015,Above 60,Male,30169770000
2015,Above 60,Female,22034557000
2015,Above 60,Unspecified,529000
2015,Unspecified,Male,179764000
2015,Unspecified,Female,152392000
2015,Unspecified,Unspecified,4390000
2016,Up to 20,Male,80925000
2016,Up to 20,Female,95719000
2016,Up to 20,Unspecified,0
2016,>20 - 25,Male,983748000
2016,>20 - 25,Female,1544050000
2016,>20 - 25,Unspecified,0
2016,>25 - 30,Male,5488610000
2016,>25 - 30,Female,7230629000
2016,>25 - 30,Unspecified,0
2016,>30 - 35,Male,11021166000
2016,>30 - 35,Female,11868191000
2016,>30 - 35,Unspecified,0
2016,>35 - 40,Male,16930721000
2016,>35 - 40,Female,17157337000
2016,>35 - 40,Unspecified,37000
2016,>40 - 45,Male,23846469000
2016,>40 - 45,Female,22463327000
2016,>40 - 45,Unspecified,245000
2016,>45 - 50,Male,27151543000
2016,>45 - 50,Female,23187526000
2016,>45 - 50,Unspecified,371000
2016,>50 - 55,Male,30533734000
2016,>50 - 55,Female,23683033000
2016,>50 - 55,Unspecified,896000
2016,>55 - 60,Male,23641330000
2016,>55 - 60,Female,18597527000
2016,>55 - 60,Unspecified,756000
2016,Above 60,Male,35879450000
2016,Above 60,Female,26933380000
2016,Above 60,Unspecified,601000
2016,Unspecified,Male,300613000
2016,Unspecified,Female,268933000
2016,Unspecified,Unspecified,4416000
2017,Up to 20,Male,83909000
2017,Up to 20,Female,97752000
2017,Up to 20,Unspecified,0
2017,>20 - 25,Male,1024841000
2017,>20 - 25,Female,1531611000
2017,>20 - 25,Unspecified,0
2017,>25 - 30,Male,5809644000
2017,>25 - 30,Female,7605466000
2017,>25 - 30,Unspecified,0
2017,>30 - 35,Male,11202339000
2017,>30 - 35,Female,12291472000
2017,>30 - 35,Unspecified,0
2017,>35 - 40,Male,17926800000
2017,>35 - 40,Female,18239294000
2017,>35 - 40,Unspecified,19000
2017,>40 - 45,Male,24605316000
2017,>40 - 45,Female,23486011000
2017,>40 - 45,Unspecified,131000
2017,>45 - 50,Male,29262775000
2017,>45 - 50,Female,25479911000
2017,>45 - 50,Unspecified,366000
2017,>50 - 55,Male,32478988000
2017,>50 - 55,Female,25688693000
2017,>50 - 55,Unspecified,683000
2017,>55 - 60,Male,26225783000
2017,>55 - 60,Female,20996644000
2017,>55 - 60,Unspecified,593000
2017,Above 60,Male,42237015000
2017,Above 60,Female,32495340000
2017,Above 60,Unspecified,930000
2017,Unspecified,Male,385933000
2017,Unspecified,Female,351990000
2017,Unspecified,Unspecified,4333000
2018,Up to 20,Male,88560000
2018,Up to 20,Female,101572000
2018,Up to 20,Unspecified,0
2018,>20 - 25,Male,1016401000
2018,>20 - 25,Female,1510792000
2018,>20 - 25,Unspecified,0
2018,>25 - 30,Male,5840465000
2018,>25 - 30,Female,7628331000
2018,>25 - 30,Unspecified,0
2018,>30 - 35,Male,11979810000
2018,>30 - 35,Female,13359030000
2018,>30 - 35,Unspecified,0
2018,>35 - 40,Male,18846542000
2018,>35 - 40,Female,19237334000
2018,>35 - 40,Unspecified,20000
2018,>40 - 45,Male,25329284000
2018,>40 - 45,Female,24451376000
2018,>40 - 45,Unspecified,97000
2018,>45 - 50,Male,31403855000
2018,>45 - 50,Female,27986108000
2018,>45 - 50,Unspecified,320000
2018,>50 - 55,Male,34177226000
2018,>50 - 55,Female,27493730000
2018,>50 - 55,Unspecified,492000
2018,>55 - 60,Male,29487565000
2018,>55 - 60,Female,24038483000
2018,>55 - 60,Unspecified,805000
2018,Above 60,Male,48279273000
2018,Above 60,Female,37944510000
2018,Above 60,Unspecified,951000
2018,Unspecified,Male,472371000
2018,Unspecified,Female,437861000
2018,Unspecified,Unspecified,4352000
