age,housingtype,yearly_income,cpf_balance,yearly_expenditure,savings,quality_of_life,disaster_preparedness,retirement_readiness
23,4-Room Flat,45000,49950.0,6000,13500.0,1,3,2
28,1&2-Room Flat,75000,222000.0,20000,60000.0,3,4,3
54,3-Room Flat,102000,1283160.0,60000,346800.0,10,10,7
50,1&2-Room Flat,77000,854700.0,84000,231000.0,7,4,9
41,Executive Flat,109000,846930.0,96000,228900.0,8,10,8
40,4-Room Flat,58000,429200.0,108000,116000.0,2,1,1
31,5-Room,47000,191290.0,60000,51700.0,1,4,4
38,Executive Flat,46000,306360.0,96000,82800.0,1,2,1
50,5-Room,118000,1309800.0,72000,354000.0,10,9,9
30,Executive Flat,52000,192400.0,72000,52000.0,1,3,3
59,3-Room Flat,147000,2033010.0,72000,573300.0,10,9,7
54,Apartment,74000,930920.0,60000,251600.0,8,10,6
36,Landed Property,65000,384800.0,84000,104000.0,2,4,1
64,3-Room Flat,129000,1925970.0,84000,567600.0,10,10,10
39,Landed Property,53000,372590.0,96000,100700.0,1,1,1
29,3-Room Flat,66000,219780.0,18000,59400.0,3,3,1
57,1&2-Room Flat,88000,1178320.0,60000,325600.0,10,9,10
21,1&2-Room Flat,55000,20350.0,5000,5500.0,1,1,1
59,5-Room,78000,1078740.0,108000,304200.0,9,10,10
22,5-Room,50000,37000.0,10000,10000.0,1,4,1
35,3-Room Flat,73000,405150.0,96000,109500.0,2,3,4
25,4-Room Flat,55000,101750.0,6000,27500.0,2,1,5
49,Landed Property,148000,1588040.0,72000,429200.0,10,10,8
26,3-Room Flat,66000,146520.0,16000,39600.0,2,5,4
33,Executive Flat,51000,245310.0,84000,66300.0,1,1,1
38,Condominium,41000,273060.0,84000,73800.0,1,1,1
56,5-Room,65000,856050.0,72000,234000.0,7,9,10
49,1&2-Room Flat,125000,1341250.0,96000,362500.0,10,8,10
56,Executive Flat,112000,1475040.0,60000,403200.0,10,10,10
26,3-Room Flat,48000,106560.0,6000,28800.0,2,1,3
63,Condominium,59000,867890.0,60000,253700.0,8,10,8
33,4-Room Flat,62000,298220.0,84000,80600.0,1,3,1
37,1&2-Room Flat,76000,478040.0,60000,129200.0,4,5,2
24,Executive Flat,50000,74000.0,10000,20000.0,2,2,1
22,Executive Flat,56000,41440.0,12000,11200.0,1,4,1
45,5-Room,91000,841750.0,72000,227500.0,8,10,10
41,Condominium,75000,582750.0,84000,157500.0,4,2,6
49,Landed Property,98000,1051540.0,60000,284200.0,10,10,7
41,Landed Property,133000,1033410.0,108000,279300.0,10,7,10
33,1&2-Room Flat,45000,216450.0,108000,58500.0,1,1,2
52,3-Room Flat,78000,923520.0,60000,249600.0,8,6,9
31,Executive Flat,60000,244200.0,60000,66000.0,2,1,5
48,3-Room Flat,146000,1512560.0,84000,408800.0,10,8,9
22,1&2-Room Flat,42000,31080.0,8000,8400.0,1,1,3
61,Condominium,53000,756310.0,84000,217300.0,6,7,7
65,Apartment,104000,1575600.0,96000,468000.0,10,10,10
38,3-Room Flat,50000,333000.0,60000,90000.0,2,1,4
45,4-Room Flat,119000,1100750.0,108000,297500.0,10,10,9
48,5-Room,120000,1243200.0,96000,336000.0,10,10,9
45,Apartment,119000,1100750.0,60000,297500.0,10,10,10
40,Condominium,52000,384800.0,60000,104000.0,3,3,5
54,Executive Flat,148000,1861840.0,108000,503200.0,10,9,7
33,Landed Property,52000,250120.0,84000,67600.0,1,1,1
50,3-Room Flat,72000,799200.0,72000,216000.0,7,7,8
30,Apartment,46000,170200.0,96000,46000.0,1,2,2
60,Condominium,141000,1981050.0,96000,564000.0,10,10,9
24,1&2-Room Flat,30000,44400.0,18000,12000.0,1,1,3
63,Landed Property,56000,823760.0,84000,240800.0,7,9,9
44,Condominium,146000,1296480.0,108000,350400.0,10,10,10
32,1&2-Room Flat,42000,186480.0,72000,50400.0,1,3,1
51,Condominium,141000,1617270.0,60000,437100.0,10,8,8
48,3-Room Flat,60000,621600.0,108000,168000.0,4,4,7
54,1&2-Room Flat,70000,880600.0,60000,238000.0,8,5,5
24,1&2-Room Flat,54000,79920.0,6000,21600.0,2,1,1
43,3-Room Flat,128000,1089280.0,72000,294400.0,10,9,10
28,Executive Flat,64000,189440.0,6000,51200.0,3,2,5
35,Executive Flat,71000,394050.0,60000,106500.0,3,4,1
64,Landed Property,134000,2000620.0,96000,589600.0,10,10,10
60,1&2-Room Flat,111000,1559550.0,108000,444000.0,10,10,7
49,3-Room Flat,103000,1105190.0,84000,298700.0,10,7,10
54,3-Room Flat,71000,893180.0,84000,241400.0,7,6,9
46,3-Room Flat,95000,913900.0,72000,247000.0,9,10,7
56,5-Room,102000,1343340.0,84000,367200.0,10,8,10
56,1&2-Room Flat,123000,1619910.0,96000,442800.0,10,7,10
24,3-Room Flat,47000,69560.0,11000,18800.0,1,1,1
52,3-Room Flat,110000,1302400.0,96000,352000.0,10,8,10
25,Executive Flat,40000,74000.0,10000,20000.0,1,2,1
61,Apartment,133000,1897910.0,84000,545300.0,10,7,7
